income,credit_history,debt_to_income_ratio,age,target
42472.40713084175,excellent,0.7952948088939877,62,high
77042.85838459496,good,0.7108549746470576,62,high
63919.63650868431,excellent,0.3251063086144015,51,low
55919.5090518222,excellent,0.7583571287863498,26,high
29361.118426546192,poor,0.2698198387312857,41,low
29359.67122017216,poor,0.690469825094715,25,high
23485.016730091967,excellent,0.42837397608594807,24,low
71970.56874649611,poor,0.7267845922670417,53,high
56066.90070459253,good,0.7208340140644702,35,high
62484.35466776273,good,0.6835552400705728,20,high
21235.069657748147,poor,0.674018261784237,45,high
78194.59112971966,good,0.38280748345882454,23,low
69946.5584480253,poor,0.24855156983075133,61,low
32740.346640696567,excellent,0.4417881072590969,61,low
30909.49803242604,excellent,0.30411470899190524,38,low
31004.270591206026,good,0.6169706533414772,45,high
38254.53457757227,poor,0.40765983592267135,57,low
51485.38589793427,poor,0.785366120515949,18,high
45916.70111852695,good,0.5845832464071993,53,high
37473.748411882516,excellent,0.6934883381806167,38,high
56711.17368334277,good,0.27951480364510906,60,low
28369.631639122512,excellent,0.7172086893635736,52,high
37528.678912113086,poor,0.7536543143080368,30,high
41981.7105976215,excellent,0.4922371512913616,27,low
47364.19905302215,good,0.5637517626505866,61,high
67110.55768358082,poor,0.6588858805417974,64,high
31980.426929501584,good,0.30490317635624753,27,low
50854.0663048167,good,0.5015396458780654,63,high
55544.87413172255,excellent,0.4391978166633879,30,low
22787.024763199865,good,0.2878243952973495,54,low
56452.6911140863,excellent,0.4205206533749189,55,low
30231.44742123749,poor,0.24090338563129615,41,low
23903.095579116773,excellent,0.2154871441696922,19,low
76933.1322352,poor,0.28109977349289367,39,low
77937.92198447356,excellent,0.7778690669535044,34,high
68503.84088698766,good,0.5297177215370102,53,high
38276.82615040224,excellent,0.7794932966919321,31,high
25860.326840383033,excellent,0.45949872699807925,27,low
61053.98159072941,poor,0.3870896798511558,52,low
46409.14962437608,good,0.5036851177041466,42,high
27322.29409068673,excellent,0.4637070131797461,20,low
49710.614606676216,good,0.2633988105570464,64,low
22063.311266913104,excellent,0.5844957888141238,55,high
74559.22412472693,excellent,0.3296229095057598,34,low
35526.79889600101,good,0.5717527729386978,29,high
59751.33706123892,excellent,0.590120655438892,41,high
38702.664565364656,good,0.2912149118771889,46,low
51204.08127066865,excellent,0.23680977626640093,60,low
52802.61676059678,poor,0.6684569516410639,42,high
31091.26733153162,good,0.47588025426159214,53,low
78175.07766587351,excellent,0.2348982773032855,43,low
66507.96940166687,excellent,0.7969197903018603,55,high
76369.93649385135,poor,0.23466833659782,18,low
73689.64102565893,good,0.617021137315132,37,high
55873.99872866511,excellent,0.7902073551580482,45,high
75312.454101387,poor,0.3435080625295554,33,low
25309.550123115172,excellent,0.2853496212123177,64,low
31758.971745148712,good,0.2728309636534574,34,low
22713.637334632283,excellent,0.38196508854055733,57,low
39519.819845795864,excellent,0.260627486606388,45,low
43320.63738136892,excellent,0.6152968050164792,29,high
36280.941906433756,excellent,0.23737507887803763,44,low
69724.25054911576,poor,0.5056532768898738,59,high
41405.19960161536,poor,0.7980181123117862,64,high
36856.07058124285,good,0.6883821617036114,47,high
52561.764989494906,poor,0.5691316629386066,58,high
28455.45349848576,poor,0.383752172471967,51,low
